"","Song","Singer","singer gender","genre","Location in Top 100","Location In Playlist","Total Number of Lines","Count Check","prop_type","prop_values"
"236","bike dream","rostam","Male","Ultimate Indie",NA,26,50,0,"Men talk Woman",0.48
"237","sheep","mt. dream","Male","Ultimate Indie",NA,27,30,0,"Men talk Woman",0.0666666666666667
"238","die young","sylvan esso","Female","Ultimate Indie",NA,28,45,0,"Men talk Woman",0
"239","the night we met","lord huron","Male","Ultimate Indie",NA,29,24,0,"Men talk Woman",0
"240","yam yam","no vacation","Female","Ultimate Indie",NA,30,20,0,"Men talk Woman",0
"241","XO TOUR Llif3","Lil Uzi Vert","Male","RapCaviar",11,1,72,0,"Men not talk Woman",0.805555555555556
"242","Butterfly Effect","Travis Scott","Male","RapCaviar",NA,2,51,0,"Men not talk Woman",0.941176470588235
"243","Slippery","Migos","Male","RapCaviar",NA,3,107,0,"Men not talk Woman",0.616822429906542
"244","Bank Account","21 Savage","Male","RapCaviar",95,4,80,0,"Men not talk Woman",0.9
"245","Magnolia","Playboi Carti","Male","RapCaviar",NA,5,62,0,"Men not talk Woman",0.629032258064516
"246","Portland","Drake","Male","RapCaviar",NA,6,97,0,"Men not talk Woman",0.907216494845361
"247","Roll in Peace","Kodak Black","Male","RapCaviar",NA,7,98,0,"Men not talk Woman",0.428571428571429
"248","No Complaints","Metro Boomin","Male","RapCaviar",NA,8,102,0,"Men not talk Woman",0.92156862745098
"249","Water","Ugly God","Male","RapCaviar",NA,9,41,0,"Men not talk Woman",0.317073170731707
"250","The Way Life Goes","Lil Uzi Vert","Male","RapCaviar",NA,10,68,0,"Men not talk Woman",0.661764705882353
"251","Unforgettable","French Montana","Male","RapCaviar",8,11,77,0,"Men not talk Woman",0.103896103896104
"252","DNA","Kendrick Lamar","Male","RapCaviar",61,12,100,0,"Men not talk Woman",1
"253","Bodak Yellow","Cardi B","Female","RapCaviar",NA,13,58,0,"Men not talk Woman",0
"254","Drowning","A Boogie Wit da Hoodie","Male","RapCaviar",NA,14,57,0,"Men not talk Woman",0.894736842105263
"255","T-Shirt","Migos","Male","RapCaviar",NA,15,64,0,"Men not talk Woman",0.765625
"256","Plain Jane","A$AP Ferg","Male","RapCaviar",NA,16,56,0,"Men not talk Woman",0.714285714285714
"257","I Get the Bag","Gucci Mane","Male","RapCaviar",NA,17,119,0,"Men not talk Woman",0.764705882352941
"258","Perplexing Pegasus","Rae Sremmurd","Male","RapCaviar",NA,18,52,0,"Men not talk Woman",0.846153846153846
"259","Swang","Rae Sremmurd","Male","RapCaviar",NA,19,51,0,"Men not talk Woman",0.725490196078431
"260","wokeuplikethis*","Playboi Carti","Male","RapCaviar",NA,20,73,0,"Men not talk Woman",0.73972602739726
"261","Rake it Up","Yo Gotti (Ft. Nicki Minaj)","Both","RapCaviar",NA,21,82,0,"Men not talk Woman",0.304878048780488
"262","HUMBLE.","Kendrick Lamar","Male","RapCaviar",6,22,70,0,"Men not talk Woman",0.814285714285714
"263","iSpy","Kyle","Male","RapCaviar",46,23,80,0,"Men not talk Woman",0.65
"264","Rockstar","Post Malone","Male","RapCaviar",38,24,65,0,"Men not talk Woman",0.769230769230769
"265","Met Gala","Gucci Mane","Male","RapCaviar",NA,25,110,0,"Men not talk Woman",0.681818181818182
"266","Tunnel Vision","Kodak Black","Male","RapCaviar",NA,26,69,0,"Men not talk Woman",0.565217391304348
"267","1-800-273-8266","Logic (Ft. Alessia Cara)","Both","RapCaviar",36,27,93,0,"Men not talk Woman",0.881720430107527
"268","Perfect Pint","Mike WiLL Made-it","Male","RapCaviar",NA,28,65,0,"Men not talk Woman",0.969230769230769
"269","Gyalchester","Drake","Male","RapCaviar",NA,29,42,0,"Men not talk Woman",0.904761904761905
"270","Crew REMIX","Goldlink","Male","RapCaviar",NA,30,75,0,"Men not talk Woman",0.253333333333333
"271","Ahora Dice","Chris Jeday","Male","Trap Land",93,1,92,0,"Men not talk Woman",0.304347826086957
"272","Bodak Yellow","Cardi B (Ft. Messiah)","Both","Trap Land",NA,2,66,0,"Men not talk Woman",0.196969696969697
"273","No Te Hagas","Jory Boy","Male","Trap Land",NA,3,70,0,"Men not talk Woman",0.214285714285714
"274","Pa Ti","Bad Bunny","Male","Trap Land",NA,4,62,0,"Men not talk Woman",0.0967741935483871
"275","Krippy Kush","Farruko","Male","Trap Land",NA,5,77,0,"Men not talk Woman",0.818181818181818
"276","Vuelve","Daddy Yankee","Male","Trap Land",NA,6,95,0,"Men not talk Woman",0.421052631578947
"277","47 - Remix","Anuel Aa","Male","Trap Land",NA,7,204,0,"Men not talk Woman",0.970588235294118
"278","Doble Personalidad","Trap Capos","Male","Trap Land",NA,8,79,0,"Men not talk Woman",0.189873417721519
"279","Lo Siento","Kaydy Cain","Male","Trap Land",NA,9,79,0,"Men not talk Woman",0.151898734177215
"280","Ahora Me Llama","Karol G","Both","Trap Land",NA,10,61,0,"Men not talk Woman",0.213114754098361
"281","Nunca Me Amo","Jon Z","Male","Trap Land",NA,11,69,0,"Men not talk Woman",0.144927536231884
"282","Me Llueven","Mark B","Male","Trap Land",NA,12,86,0,"Men not talk Woman",0.790697674418605
"283","Male Mujer","C. Tangana","Male","Trap Land",NA,13,49,0,"Men not talk Woman",0.163265306122449
"284","Angel y Diabla","Hadrian","Male","Trap Land",NA,14,52,0,"Men not talk Woman",0.0192307692307692
"285","Haters - Remix","J Alvarez","Male","Trap Land",NA,15,127,0,"Men not talk Woman",0.779527559055118
"286","Que Tengo Que Hacer","Lary Over","Male","Trap Land",NA,16,58,0,"Men not talk Woman",0.206896551724138
"287","Chambea","Bad Bunny","Male","Trap Land",NA,17,51,0,"Men not talk Woman",1
"288","Sexto Sentido","Gigolo Y la Exce","Male","Trap Land",NA,18,63,0,"Men not talk Woman",0.317460317460317
"289","Loca","Cazzu (Ft. Khea)","Both","Trap Land",NA,19,79,0,"Men not talk Woman",0.0379746835443038
"290","Luna Llena","Paulo Londra","Male","Trap Land",NA,20,65,0,"Men not talk Woman",0.892307692307692
"291","Todo Poderoso","Almigthy","Male","Trap Land",NA,21,89,0,"Men not talk Woman",0.966292134831461
"292","Por Ti","Fuego","Male","Trap Land",NA,22,51,0,"Men not talk Woman",0.0784313725490196
"293","Demasiao Tarde","C. Tangana","Male","Trap Land",NA,23,78,0,"Men not talk Woman",0.320512820512821
"294","Amigos y Enemigos","Trap Capos","Male","Trap Land",NA,24,122,0,"Men not talk Woman",0.204918032786885
"295","Sensualidad","Bad Bunny","Male","Trap Land",NA,25,75,0,"Men not talk Woman",0.173333333333333
"296","Explicale","Yandel","Male","Trap Land",NA,26,76,0,"Men not talk Woman",0.302631578947368
"297","GPS","Maluma","Male","Trap Land",NA,27,72,0,"Men not talk Woman",0.236111111111111
"298","Diabla","Farruko","Male","Trap Land",NA,28,63,0,"Men not talk Woman",0.0634920634920635
"299","Viajo sin ver","Jon Z","Male","Trap Land",NA,29,90,0,"Men not talk Woman",0.988888888888889
"300","Stripper","Andy Rivera","Male","Trap Land",NA,30,72,0,"Men not talk Woman",0.291666666666667
"301","I feel it still","Portugal. The Man.","Male","Rock This",NA,1,46,0,"Men not talk Woman",0.869565217391304
"302","Lights Out","Royal Blood","Male","Rock This",NA,2,34,0,"Men not talk Woman",0.676470588235294
"303","The Sky Is A Neighborhood","Foo Fighters","Male","Rock This",NA,3,72,0,"Men not talk Woman",0.916666666666667
"304","The Way You Used To Do","Queens of The Stone Age","Male","Rock This",NA,4,39,0,"Men not talk Woman",0.564102564102564
"305","Rx","A Theory of A Deadman","Male","Rock This",NA,5,75,0,"Men not talk Woman",0.96
"306","Highway Tune","Greta Van Fleet","Male","Rock This",NA,6,37,0,"Men not talk Woman",0.378378378378378
"307","Young Lady You're Scaring Me","Ron Gallo","Male","Rock This",NA,7,23,0,"Men not talk Woman",0.260869565217391
"308","Jungle","Tash Sultana","Female","Rock This",NA,8,45,0,"Men not talk Woman",0
"309","Legendary","Welshly Arms","Male","Rock This",NA,9,52,0,"Men not talk Woman",1
"310","Little One","Highly Suspect","Male","Rock This",NA,10,32,0,"Men not talk Woman",0.96875
"311","Go To War","Nothing More","Male","Rock This",NA,11,67,0,"Men not talk Woman",1
"312","Freeze Me","Death From Above 1979","Male","Rock This",NA,12,20,0,"Men not talk Woman",1
"313","Come Together","Gary Clark Jr.","Male","Rock This",NA,13,20,0,"Men not talk Woman",1
"314","No Good","Kaleo","Male","Rock This",NA,14,54,0,"Men not talk Woman",0.759259259259259
"315","Love Is Mystical","Cold War Kids","Male","Rock This",NA,15,55,0,"Men not talk Woman",0.836363636363636
"316","The Man","The Killers","Male","Rock This",NA,16,60,0,"Men not talk Woman",0.9
"317","Walk On Water","Thirty Seconds to Mars","Male","Rock This",NA,17,55,0,"Men not talk Woman",1
"318","Believer","Imagine Dragons","Male","Rock This",20,18,52,0,"Men not talk Woman",1
"319","Cold Cold Cold","Cage The Elephant","Male","Rock This",NA,19,34,0,"Men not talk Woman",1
"320","Sorry","Nothing But Thieves","Male","Rock This",NA,20,44,0,"Men not talk Woman",0.772727272727273
"321","It's A Trip","Joywave","Male","Rock This",NA,21,41,0,"Men not talk Woman",1
"322","Cocoon","Milky Chance","Male","Rock This",NA,22,59,0,"Men not talk Woman",0.576271186440678
"323","Reverend","Kings Of Leon","Male","Rock This",NA,23,31,0,"Men not talk Woman",0.548387096774194
"324","One More Light","Linkin Park","Male","Rock This",NA,24,36,0,"Men not talk Woman",0.972222222222222
"325","Sweet Desaster","Dreamers","Male","Rock This",NA,25,38,0,"Men not talk Woman",1
"326","Roman Sky","Avenged Sevenfold","Male","Rock This",NA,26,15,0,"Men not talk Woman",1
"327","Vacation","The Dirty Heads","Male","Rock This",NA,27,61,0,"Men not talk Woman",1
"328","We Fight","Dashboard Confessional","Male","Rock This",NA,28,62,0,"Men not talk Woman",1
"329","Get Right","Jimmy Eat World","Male","Rock This",NA,29,24,0,"Men not talk Woman",1
"330","American Soul","U2","Male","Rock This",NA,30,61,0,"Men not talk Woman",1
"331","DNA","BTS","Male","K-Pop",NA,1,62,0,"Men not talk Woman",0.435483870967742
"332","Bang Bang Bang","BigBang","Male","K-Pop",NA,2,73,0,"Men not talk Woman",0.821917808219178
"333","As If It's Your Last","BlackPink","Female","K-Pop",NA,3,61,0,"Men not talk Woman",0
"334","Stay With Me","Chanyeol","Male","K-Pop",NA,4,50,0,"Men not talk Woman",0.24
"335","Ko Ko Bop","Exo","Male","K-Pop",NA,5,55,0,"Men not talk Woman",0.890909090909091
"336","Blood Sweat Tears","BTS","Male","K-Pop",NA,6,60,0,"Men not talk Woman",0.75
"337","Boombayah","BlackPink","Female","K-Pop",NA,7,71,0,"Men not talk Woman",0
"338","FXXK It","BigBang","Male","K-Pop",NA,8,109,0,"Men not talk Woman",0.761467889908257
"339","Monster","Exo","Male","K-Pop",NA,9,72,0,"Men not talk Woman",0.597222222222222
"340","Beautiful","Crush","Male","K-Pop",NA,10,42,0,"Men not talk Woman",0.928571428571429
"341","Spring Day","BTS","Male","K-Pop",NA,11,84,0,"Men not talk Woman",0.833333333333333
"342","Playing With Fire","BlackPink","Female","K-Pop",NA,12,51,0,"Men not talk Woman",0
"343","Really Really","Winner","Male","K-Pop",NA,13,76,0,"Men not talk Woman",0.736842105263158
"344","Don't Recall","Kard","Both","K-Pop",NA,14,64,0,"Men not talk Woman",0.171875
"345","Don't Want To Cry","Seventeen","Male","K-Pop",NA,15,41,0,"Men not talk Woman",0.878048780487805
"346","Not Today","BTS","Male","K-Pop",NA,16,21,0,"Men not talk Woman",1
"347","Whistle","BlackPink","Female","K-Pop",NA,17,72,0,"Men not talk Woman",0
"348","Oh NaNa","Kard","Both","K-Pop",NA,18,69,0,"Men not talk Woman",0.0434782608695652
"349","Call Me Baby","Exo","Male","K-Pop",NA,19,88,0,"Men not talk Woman",0.670454545454545
"350","Gashina-Sunm","Sunmi","Female","K-Pop",NA,20,54,0,"Men not talk Woman",0
"351","Russian Roulette","Red Velvet","Female","K-Pop",NA,21,70,0,"Men not talk Woman",0
"352","Go Go","BTS","Male","K-Pop",NA,22,82,0,"Men not talk Woman",1
"353","The Eve","Exo","Male","K-Pop",NA,23,53,0,"Men not talk Woman",1
"354","Stay","BlackPink","Female","K-Pop",NA,24,57,0,"Men not talk Woman",0
"355","Dope","BTS","Male","K-Pop",NA,25,82,0,"Men not talk Woman",0.975609756097561
"356","Lotto","Exo","Male","K-Pop",NA,26,62,0,"Men not talk Woman",0.887096774193548
"357","Red Flavor","Red Velvet","Female","K-Pop",NA,27,47,0,"Men not talk Woman",0
"358","Very Very","I.O.I.","Female","K-Pop",NA,28,75,0,"Men not talk Woman",0
"359","Palette","IU","Female","K-Pop",NA,29,56,0,"Men not talk Woman",0
"360","Very Nice","Seventeen","Male","K-Pop",NA,30,70,0,"Men not talk Woman",1
"361","If You Need To, Keep Time on Me","Fleet Foxes","Male","Fresh Folk",NA,1,18,0,"Men not talk Woman",1
"362","Chateau","Angus & Julia Stone","Both","Fresh Folk",NA,2,52,0,"Men not talk Woman",0
"363","Minimum","Charlie Cunningham","Male","Fresh Folk",NA,3,36,0,"Men not talk Woman",1
"364","A Closeness","Dermot Kennedy","Male","Fresh Folk",NA,4,44,0,"Men not talk Woman",0.613636363636364
"365","Carry You","Novo Amor","Male","Fresh Folk",NA,5,23,0,"Men not talk Woman",1
"366","Colder Heavens","Blanco White","Male","Fresh Folk",NA,6,39,0,"Men not talk Woman",1
"367","The Meetings of the Waters","Fionn Regan","Male","Fresh Folk",NA,7,40,0,"Men not talk Woman",1
"368","Six Years","A Blaze of Feather","Male","Fresh Folk",NA,8,39,0,"Men not talk Woman",0.897435897435897
"369","You Would Have to Lose Your Mind","The Barr Brothers","Male","Fresh Folk",NA,9,34,0,"Men not talk Woman",0.823529411764706
"370","Silver Lining","Mnt. Joy","Male","Fresh Folk",NA,10,39,0,"Men not talk Woman",0.948717948717949
"371","Lay It On Me","Vance Joy","Male","Fresh Folk",NA,11,33,0,"Men not talk Woman",0.757575757575758
"372","Never Break","Langhorne Slim","Male","Fresh Folk",NA,12,23,0,"Men not talk Woman",0.91304347826087
"373","Horizon","Aldous Harding","Female","Fresh Folk",NA,13,42,0,"Men not talk Woman",0
"374","Bruises","Lewis Capaldi","Male","Fresh Folk",NA,14,41,0,"Men not talk Woman",0.804878048780488
"375","Call it Dreaming","Iron and Wine","Male","Fresh Folk",NA,15,31,0,"Men not talk Woman",1
"376","Little Lies","I'm with Her","Female","Fresh Folk",NA,16,41,0,"Men not talk Woman",0
"377","Only Lonely","The Ballroom Thieves","Both","Fresh Folk",NA,17,52,0,"Men not talk Woman",0.288461538461538
"378","Subterranean Homesick Bluse","Andrew Bird","Male","Fresh Folk",NA,18,71,0,"Men not talk Woman",0.943661971830986
"379","It's A Shame","First Aid Kit","Female","Fresh Folk",NA,19,40,0,"Men not talk Woman",0
"380","Coming Down the Mountain","Mipso","Female","Fresh Folk",NA,20,30,0,"Men not talk Woman",0
"381","At the Purchaser's Option","Rhiannon Gibbons","Female","Fresh Folk",NA,21,44,0,"Men not talk Woman",0
"382","My Arms Were Always Around You","Peter Bradley Adams","Male","Fresh Folk",NA,22,40,0,"Men not talk Woman",0.675
"383","Ballad of the Dying Man","Father John Misty","Male","Fresh Folk",NA,23,27,0,"Men not talk Woman",1
"384","Thirty","The Weather Station","Female","Fresh Folk",NA,24,66,0,"Men not talk Woman",0
"385","Standing In The Doorway","Hiss Golden Messenger","Male","Fresh Folk",NA,25,36,0,"Men not talk Woman",0.638888888888889
"386","Motion Sickness","Phoebe Bridgers","Female","Fresh Folk",NA,26,35,0,"Men not talk Woman",0
"387","Nobody's Fool","Shakey Graves","Male","Fresh Folk",NA,27,27,0,"Men not talk Woman",1
"388","Blind in the Fray","The Last Revel","Male","Fresh Folk",NA,28,31,0,"Men not talk Woman",0.516129032258065
"389","If We Were Vampires","Jason Isbell","Male","Fresh Folk",NA,29,28,0,"Men not talk Woman",0.214285714285714
"390","Mind On Fire","Aisha Badru","Female","Fresh Folk",NA,30,22,0,"Men not talk Woman",0
"391","Old Church Choir","Zack Williams","Male","Christian Hits",NA,20,38,0,"Men not talk Woman",1
"392","Word of Life","Jeremy Camp","Male","Christian Hits",NA,21,52,0,"Men not talk Woman",1
"393","Gracefully Broken","Matt Redman","Male","Christian Hits",NA,22,107,0,"Men not talk Woman",0.401869158878505
"394","King of the World","Natalie Grant","Female","Christian Hits",NA,23,28,0,"Men not talk Woman",0
"395","The Gospel","Ryan Stevenson","Male","Christian Hits",NA,24,64,0,"Men not talk Woman",1
"396","Bulletproof","Citizen Way","Male","Christian Hits",NA,25,59,0,"Men not talk Woman",1
"397","Take Courage","Kristene Dimarco","Female","Christian Hits",NA,26,35,0,"Men not talk Woman",0
"398","Point to You","We Are Messengers","Male","Christian Hits",NA,27,59,0,"Men not talk Woman",1
"399","The Comeback","Danny Gokey","Male","Christian Hits",NA,28,37,0,"Men not talk Woman",1
"400","In the Name of Love","Kari Jobe","Female","Christian Hits",NA,29,37,0,"Men not talk Woman",0
"401","Control","Tenth Avenue North","Male","Christian Hits",NA,30,67,0,"Men not talk Woman",1
"402","Hills and valleys","Tauren Wells","Male","Christian Hits",NA,1,67,0,"Men not talk Woman",0.970149253731343
"403","What a Beautiful Name","Hillsong Kiev","Female","Christian Hits",NA,2,57,0,"Men not talk Woman",0
"404","Even If","MercyMe","Male","Christian Hits",NA,3,47,0,"Men not talk Woman",1
"405","O Come to the Altar","Elevation Worship","Male","Christian Hits",NA,4,46,0,"Men not talk Woman",1
"406","Wonder","Hillsong United","Female","Christian Hits",NA,5,40,0,"Men not talk Woman",0
"407","Chain Breaker","Zack Williams","Male","Christian Hits",NA,6,50,0,"Men not talk Woman",0
"408","Home","Chris Tomlin","Female","Christian Hits",NA,7,56,0,"Men not talk Woman",0
"409","I'll Find You","Lecrae","Both","Christian Hits",NA,8,85,0,"Men not talk Woman",0.576470588235294
"410","Broken Things","Matthew West","Male","Christian Hits",NA,9,23,0,"Men not talk Woman",1
"411","Peace Be Still","The Belonging Co","Female","Christian Hits",NA,10,107,0,"Men not talk Woman",0
"412","Death Was Arrested","North Point InsideOut","Male","Christian Hits",NA,11,56,0,"Men not talk Woman",1
"413","I Have This Hope","Tenth Avenue North","Male","Christian Hits",NA,12,40,0,"Men not talk Woman",1
"414","So Will I","100 Billion X","Male","Christian Hits",NA,13,57,0,"Men not talk Woman",1
"415","Throne Room","Kim Walker-Smith","Female","Christian Hits",NA,14,48,0,"Men not talk Woman",0
"416","O God Forgive Us","for King and Country","Male","Christian Hits",NA,15,36,0,"Men not talk Woman",1
"417","The Cause of Christ","Kari Jobe","Female","Christian Hits",NA,16,39,0,"Men not talk Woman",0
"418","Reckless Love","Cory Asbury","Male","Christian Hits",NA,17,44,0,"Men not talk Woman",1
"419","Oh My Soul","Casting Crowns","Male","Christian Hits",NA,18,40,0,"Men not talk Woman",0.95
"420","Thy Will","Hillary Scott","Female","Christian Hits",NA,19,47,0,"Men not talk Woman",0
"421","Body like a back road","sam hunt","Male","Hot Country",98,1,17,0,"Men not talk Woman",0.588235294117647
"422","meant to be","bebe rexha","Female","Hot Country",NA,2,45,0,"Men not talk Woman",0.511111111111111
"423","what ifs","kane brown","Male","Hot Country",NA,3,43,0,"Men not talk Woman",0.604651162790698
"424","unforgettable","thomas rhett","Male","Hot Country",NA,4,49,0,"Men not talk Woman",0.816326530612245
"425","craving you","thomas rhett","Male","Hot Country",NA,5,52,0,"Men not talk Woman",0.615384615384615
"426","all on me","devin dawson","Male","Hot Country",NA,6,55,0,"Men not talk Woman",0.690909090909091
"427","close","ryan kinder","Male","Hot Country",NA,7,42,0,"Men not talk Woman",0.857142857142857
"428","hurricane","luke combs","Male","Hot Country",NA,8,50,0,"Men not talk Woman",1
"429","blue tacoma","russell dickerson","Male","Hot Country",NA,9,66,0,"Men not talk Woman",0.96969696969697
"430","in case you didnt know","brett young","Male","Hot Country",NA,10,44,0,"Men not talk Woman",0.886363636363636
"431","man enough now","chris bandi","Male","Hot Country",NA,11,42,0,"Men not talk Woman",0.952380952380952
"432","small town boy","dustin lynch","Male","Hot Country",NA,12,57,0,"Men not talk Woman",0.192982456140351
"433","i could use a love song","maren morris","Female","Hot Country",NA,13,44,0,"Men not talk Woman",0
"434","getting over you","jackie lee","Male","Hot Country",NA,14,24,0,"Men not talk Woman",0.916666666666667
"435","more girls like you","kip moore","Male","Hot Country",NA,15,38,0,"Men not talk Woman",0.473684210526316
"436","may we all","florida georgia line","Male","Hot Country",NA,16,20,0,"Men not talk Woman",0.9
"437","losing sleep","chris young","Male","Hot Country",NA,17,41,0,"Men not talk Woman",0.707317073170732
"438","you broke up with me","walker hayes","Male","Hot Country",NA,18,46,0,"Men not talk Woman",0.717391304347826
"439","sunday morning","parMalee","Male","Hot Country",NA,19,40,0,"Men not talk Woman",0.5
"440","star of the show","thomas rhett","Male","Hot Country",NA,20,37,0,"Men not talk Woman",0.648648648648649
"441","heartache on the dance floor","jon pardi","Male","Hot Country",NA,21,39,0,"Men not talk Woman",0.58974358974359
"442","singles you up","jordan davis","Male","Hot Country",NA,22,37,0,"Men not talk Woman",0.810810810810811
"443","no such thing as a broken heart","old dominion","Male","Hot Country",NA,23,31,0,"Men not talk Woman",0.806451612903226
"444","written in the sand","old dominion","Male","Hot Country",NA,24,21,0,"Men not talk Woman",0.666666666666667
"445","sleep without you","brett young","Male","Hot Country",NA,25,45,0,"Men not talk Woman",0.933333333333333
"446","when it rains it pours","luke combs","Male","Hot Country",NA,26,36,0,"Men not talk Woman",0.583333333333333
"447","happens like that","granger smith","Male","Hot Country",NA,27,42,0,"Men not talk Woman",0.69047619047619
"448","hooked","dylan scott","Male","Hot Country",NA,28,61,0,"Men not talk Woman",0.836065573770492
"449","hometown girl","josh turner","Male","Hot Country",NA,29,29,0,"Men not talk Woman",0.241379310344828
"450","kiss somebody","morgan evans","Male","Hot Country",NA,30,57,0,"Men not talk Woman",0.578947368421053
"451","different now","chastity belt","Female","Ultimate Indie",NA,1,15,0,"Men not talk Woman",0
"452","virtue","kllo","Female","Ultimate Indie",NA,2,45,0,"Men not talk Woman",0
"453","now and then","sjowgren","Female","Ultimate Indie",NA,3,21,0,"Men not talk Woman",0
"454","fallss","bayonne","Male","Ultimate Indie",NA,4,16,0,"Men not talk Woman",0.9375
"455","gold angel","minke","Male","Ultimate Indie",NA,5,24,0,"Men not talk Woman",0.5
"456","anemone","slenderbodies","Male","Ultimate Indie",NA,6,33,0,"Men not talk Woman",1
"457","dreams tonite","alvvays","Female","Ultimate Indie",NA,7,16,0,"Men not talk Woman",0
"458","down the line","beach fossils","Male","Ultimate Indie",NA,8,22,0,"Men not talk Woman",0.727272727272727
"459","goodpain","yoke lore","Male","Ultimate Indie",NA,9,15,0,"Men not talk Woman",1
"460","star roving","slowdive","Male","Ultimate Indie",NA,10,32,0,"Men not talk Woman",0.65625
"461","this time","land of talk","Female","Ultimate Indie",NA,11,22,0,"Men not talk Woman",0
"462","olly","cape francis","Male","Ultimate Indie",NA,12,21,0,"Men not talk Woman",1
"463","begin","shallou","Male","Ultimate Indie",NA,13,25,0,"Men not talk Woman",1
"464","my god has a telephone","the flying stars of brooklyn ny","Female","Ultimate Indie",NA,14,26,0,"Men not talk Woman",0
"465","depths pt 1","yumi zouma","Female","Ultimate Indie",NA,15,20,0,"Men not talk Woman",0
"466","live well","palace","Male","Ultimate Indie",NA,16,44,0,"Men not talk Woman",0.704545454545455
"467","chateau","angus & julia stone","Both","Ultimate Indie",NA,17,42,0,"Men not talk Woman",0.261904761904762
"468","appointments","julien baker","Female","Ultimate Indie",NA,18,31,0,"Men not talk Woman",0
"469","going home","twist","Female","Ultimate Indie",NA,19,25,0,"Men not talk Woman",0
"470","ancient water","future islands","Male","Ultimate Indie",NA,20,32,0,"Men not talk Woman",0.625
